FID,straatnaam,huisnummer,huisletter,toevoeging,woonplaats,postcode,geom
inspireadressen.1,Kalf R,33,,ROOD,Zaandam,1509AC,POINT (117697.78288171062 498333.6693347917)
inspireadressen.2,Kalf R,34,,ROOD,Zaandam,1509AC,POINT (117717.2522335165 498337.2071935198)
inspireadressen.3,Kalf R,37,,ROOD,Zaandam,1509AC,POINT (117771.61429939931 498348.5055765828)
inspireadressen.4,Kalf R,42,,ROOD,Zaandam,1509AC,POINT (117855.29317108038 498367.8279172564)
inspireadressen.5,Kalf R,43,,ROOD,Zaandam,1509AC,POINT (117872.02954081133 498371.4755871343)
inspireadressen.6,Kalf R,44,,ROOD,Zaandam,1509AC,POINT (117888.24916136554 498375.5096231659)
inspireadressen.7,Kalf R,46,,ROOD,Zaandam,1509AC,POINT (117919.19409384369 498380.42103458097)
inspireadressen.8,Kalf R,47,,ROOD,Zaandam,1509AC,POINT (117933.29717030025 498384.0267853249)
inspireadressen.9,Kanaaldijk,31,A,,Assendelft,1566PA,POINT (111806.01376581489 494494.2859917906)
inspireadressen.10,Kanaaldijk,32,,rood,Assendelft,1566PA,POINT (111700.24646888813 494744.2955053366)
inspireadressen.11,Noordervaartdijk,24,D,,Krommenie,1561PT,POINT (113538.76858087993 502128.9028953604)
inspireadressen.12,Noordervaartdijk,24,E,,Krommenie,1561PT,POINT (113543.87976965758 502155.09387533227)
inspireadressen.13,Noordervaartdijk,24,F,,Krommenie,1561PT,POINT (113552.0472602164 502181.9925451392)
inspireadressen.14,Noordervaartdijk,25,B,,Krommenie,1561PT,POINT (113562.72022387797 502322.06383013807)
inspireadressen.15,Noordervaartdijk,25,C,,Krommenie,1561PT,POINT (113560.95742387479 502355.6870620658)
inspireadressen.16,Noordervaartdijk,28,A,,Krommenie,1561PT,POINT (113554.88502343353 502484.84151595953)
inspireadressen.17,Noordervaartdijk,28,B,,Krommenie,1561PT,POINT (113553.04005725212 502519.73017412494)
inspireadressen.18,Noordervaartdijk,30,A,,Krommenie,1561PT,POINT (113528.57607652899 502868.20352377783)
inspireadressen.19,Noordervaartdijk,30,B,,Krommenie,1561PT,POINT (113525.47300375214 502901.3966093553)
inspireadressen.20,Westknollendam,64,,ARK,Westknollendam,1525PP,POINT (114385.63550000002 503439.40650000004)
inspireadressen.21,J.J. Allanstraat,441,,ROOD,Westzaan,1551RL,POINT (113162.17718144943 497164.9812129783)
inspireadressen.22,J.J. Allanstraat,465,A,ROOD,Westzaan,1551RL,POINT (113181.89717045575 497264.1997449669)
inspireadressen.23,Kalf R,2,,ROOD,Zaandam,1509AC,POINT (117152.02434996943 498245.3268400334)
inspireadressen.24,Zuidervaartdijk,114,,ROOD,Krommenie,1561ZE,POINT (113317.00213991263 501216.78436948336)
inspireadressen.25,Kalf R,1,,ROOD,Zaandam,1509AC,POINT (117135.12646538422 498241.5803474675)
inspireadressen.26,Middel,63,,ROOD,Westzaan,1551SN,POINT (113591.24965485733 498302.44298298476)
inspireadressen.27,Overtoom,2,,,Westzaan,1551PA,POINT (114425.82608312486 493989.199814618)
inspireadressen.28,Weiver,7,A,ROOD,Westzaan,1551SC,POINT (113124.93806303691 497812.5394064025)
inspireadressen.29,Zuideinde,55,,ROOD,Westzaan,1551EB,POINT (113720.78419568297 494018.2022428747)
inspireadressen.30,Badhuisweg,2,,ROOD,Zaandam,1506PA,POINT (116772.95156657454 494431.9753649391)
inspireadressen.31,Badhuisweg,9,C,,Zaandam,1506PA,POINT (116750.46671547407 494410.9484427222)
inspireadressen.32,Gerrit Bolkade,7,,,Zaandam,1507BR,POINT (116361.92297947024 493933.65586074156)
inspireadressen.33,Braakdijk R,1,,ROOD,Zaandam,1509BJ,POINT (117145.50834594911 498259.5311401736)
inspireadressen.34,Braakdijk R,2,,ROOD,Zaandam,1509BJ,POINT (117166.31397326679 498264.5956198113)
inspireadressen.35,Braakdijk R,3,,ROOD,Zaandam,1509BJ,POINT (117184.41255040761 498268.77497046546)
inspireadressen.36,Braakdijk R,4,,ROOD,Zaandam,1509BJ,POINT (117200.41667447677 498272.32342700916)
inspireadressen.37,Braakdijk R,5,,ROOD,Zaandam,1509BJ,POINT (117215.19336279074 498275.41662048973)
inspireadressen.38,Braakdijk R,6,,ROOD,Zaandam,1509BJ,POINT (117229.33608376008 498277.9765512042)
inspireadressen.39,Braakdijk R,7,,ROOD,Zaandam,1509BJ,POINT (117246.50099796963 498281.3071032065)
inspireadressen.40,Braakdijk R,8,,ROOD,Zaandam,1509BJ,POINT (117262.97187402094 498282.5231731188)
inspireadressen.41,Braakdijk R,9,,ROOD,Zaandam,1509BJ,POINT (117276.32700957864 498284.8205435159)
inspireadressen.42,Braakdijk R,10,,ROOD,Zaandam,1509BJ,POINT (117291.44688292565 498286.3018575642)
inspireadressen.43,Braakdijk R,11,,ROOD,Zaandam,1509BJ,POINT (117306.52943792588 498288.37470444606)
inspireadressen.44,Braakdijk R,12,,ROOD,Zaandam,1509BJ,POINT (117321.53064824124 498290.4363111717)
inspireadressen.45,Braakdijk R,14,,ROOD,Zaandam,1509BJ,POINT (117349.57586702133 498294.88774419064)
inspireadressen.46,Braakdijk R,15,,ROOD,Zaandam,1509BJ,POINT (117363.48307531257 498295.49634684745)
inspireadressen.47,Braakdijk R,16,,ROOD,Zaandam,1509BJ,POINT (117380.09089704031 498299.0947276431)
inspireadressen.48,Braakdijk R,17,,ROOD,Zaandam,1509BJ,POINT (117397.25778613782 498303.474342072)
inspireadressen.49,Braakdijk R,18,,ROOD,Zaandam,1509BJ,POINT (117414.80783067529 498306.6880941029)
inspireadressen.50,Braakdijk R,19,,ROOD,Zaandam,1509BJ,POINT (117434.12773570835 498311.0440472392)
inspireadressen.51,Braakdijk R,20,,ROOD,Zaandam,1509BJ,POINT (117451.27041743987 498315.62313155166)
inspireadressen.52,Braakdijk R,21,,ROOD,Zaandam,1509BJ,POINT (117468.85779085605 498319.26106290804)
inspireadressen.53,Braakdijk R,22,,ROOD,Zaandam,1509BK,POINT (117487.21681176052 498322.9214570571)
inspireadressen.54,Braakdijk R,23,,ROOD,Zaandam,1509BK,POINT (117502.07832300772 498327.3535231911)
inspireadressen.55,Braakdijk R,24,,ROOD,Zaandam,1509BK,POINT (117517.54152098733 498331.6253536205)
inspireadressen.56,Braakdijk R,25,,ROOD,Zaandam,1509BK,POINT (117533.05369401339 498336.06590532634)
inspireadressen.57,Braakdijk R,26,,ROOD,Zaandam,1509BK,POINT (117547.46876465193 498337.99042183254)
inspireadressen.58,Braakdijk R,28,,ROOD,Zaandam,1509BK,POINT (117577.47011111544 498341.0000678486)
inspireadressen.59,Braakdijk R,29,,ROOD,Zaandam,1509BK,POINT (117590.67753153614 498342.08718696854)
inspireadressen.60,Braakdijk R,30,,ROOD,Zaandam,1509BK,POINT (117602.74186112481 498343.63048637926)
inspireadressen.61,Braakdijk R,32,,ROOD,Zaandam,1509BK,POINT (117628.35365780586 498348.31419109745)
inspireadressen.62,Braakdijk R,33,,ROOD,Zaandam,1509BK,POINT (117645.56624407983 498351.23050014355)
inspireadressen.63,Braakdijk R,34,,ROOD,Zaandam,1509BK,POINT (117663.28733516425 498353.5759776807)
inspireadressen.64,Braakdijk R,35,,ROOD,Zaandam,1509BK,POINT (117678.43268906079 498355.30148599355)
inspireadressen.65,Braakdijk R,36,,ROOD,Zaandam,1509BL,POINT (117693.32242680954 498359.66468888184)
inspireadressen.66,Braakdijk R,37,,ROOD,Zaandam,1509BL,POINT (117709.89569082177 498362.40717361093)
inspireadressen.67,Noordervaartdijk,30,C,,Krommenie,1561PT,POINT (113521.47128413715 502932.2999968418)
inspireadressen.68,Noordervaartdijk,30,D,,Krommenie,1561PT,POINT (113519.16296353846 502964.0118727387)
inspireadressen.69,Noordervaartdijk,30,E,,Krommenie,1561PT,POINT (113515.17320697711 502993.51741566375)
inspireadressen.70,Noordervaartdijk,30,F,,Krommenie,1561PT,POINT (113513.97433510743 503026.04175527795)
inspireadressen.71,Noordervaartdijk,32,A,,Krommenie,1561PT,POINT (113506.16185683403 503100.6733367034)
inspireadressen.72,Noordervaartdijk,34,A,,Krommenie,1561PT,POINT (113501.75482839037 503132.2198464807)
inspireadressen.73,Zuidervaartdijk,103,,ROOD,Krommenie,1561ZE,POINT (113269.84848673994 500947.90777442494)
inspireadressen.74,Zuidervaartdijk,104,,ROOD,Krommenie,1561ZE,POINT (113275.08958038711 500971.80170917657)
inspireadressen.75,Zuidervaartdijk,105,,ROOD,Krommenie,1561ZE,POINT (113277.03547973357 500998.3473833813)
inspireadressen.76,Zuidervaartdijk,106,,ROOD,Krommenie,1561ZE,POINT (113278.78207050503 501019.20774709695)
inspireadressen.77,Zuidervaartdijk,107,,ROOD,Krommenie,1561ZE,POINT (113280.92548855305 501039.36022216687)
inspireadressen.78,Zuidervaartdijk,108,,ROOD,Krommenie,1561ZE,POINT (113286.31930739718 501058.0088169421)
inspireadressen.79,Zuidervaartdijk,109,,ROOD,Krommenie,1561ZE,POINT (113289.00658387487 501079.01040887187)
inspireadressen.80,Zuidervaartdijk,110,,ROOD,Krommenie,1561ZE,POINT (113296.27989776997 501110.9417006669)
inspireadressen.81,Zuidervaartdijk,112,,ROOD,Krommenie,1561ZE,POINT (113306.76708296611 501164.00050948723)
inspireadressen.82,Zuidervaartdijk,113,,ROOD,Krommenie,1561ZE,POINT (113312.69487137189 501191.92977259454)
inspireadressen.83,Kalf R,8,,ROOD,Zaandam,1509AC,POINT (117262.11309296735 498263.8741262348)
inspireadressen.84,Braakdijk R,38,,ROOD,Zaandam,1509BL,POINT (117727.23054707219 498365.90481133846)
inspireadressen.85,Braakdijk R,39,,ROOD,Zaandam,1509BL,POINT (117744.08899766699 498368.47402297525)
inspireadressen.86,Braakdijk R,40,,ROOD,Zaandam,1509BL,POINT (117759.14345234098 498370.8527896587)
inspireadressen.87,Braakdijk R,41,,ROOD,Zaandam,1509BL,POINT (117774.93328009776 498374.3499660706)
inspireadressen.88,Braakdijk R,42,,ROOD,Zaandam,1509BL,POINT (117796.17436064788 498377.81152700033)
inspireadressen.89,Braakdijk R,44,,ROOD,Zaandam,1509BL,POINT (117829.86352614251 498385.3029145303)
inspireadressen.90,Braakdijk R,45,,ROOD,Zaandam,1509BL,POINT (117844.31861300419 498388.3362220417)
inspireadressen.91,Braakdijk R,46,,ROOD,Zaandam,1509BL,POINT (117860.44974130146 498390.7261115323)
inspireadressen.92,Braakdijk R,47,,ROOD,Zaandam,1509BL,POINT (117876.37539368877 498394.81875488185)
inspireadressen.93,Braakdijk R,49,,ROOD,Zaandam,1509BL,POINT (117908.1718436023 498399.87970212946)
inspireadressen.94,Geuzenpad,2,,,Zaandam,1504NZ,POINT (118859.47027839508 494421.48506296956)
inspireadressen.95,Hogendijk,212,,,Zaandam,1506AN,POINT (116256.60636196603 494400.513238044)
inspireadressen.96,Houthavenkade,19,,ROOD,Zaandam,1506PC,POINT (116531.30933588871 494174.12530255)
inspireadressen.97,Houthavenkade,21,,ROOD,Zaandam,1506PC,POINT (116528.68836742645 494165.8687737887)
inspireadressen.98,Houthavenkade,23,,ROOD,Zaandam,1506PC,POINT (116528.43458924089 494148.741361172)
inspireadressen.99,Houthavenkade,29,,ROOD,Zaandam,1506PC,POINT (116533.15461042416 494116.25806484633)
inspireadressen.100,Houthavenkade,31,,ROOD,Zaandam,1506PC,POINT (116541.50754459064 494099.5004416633)
inspireadressen.101,Houthavenkade,33,,ROOD,Zaandam,1506PC,POINT (116541.02907008052 494090.515862242)
inspireadressen.102,Houthavenkade,38,,rood,Zaandam,1506PD,POINT (116449.75866604286 494330.07596701826)
inspireadressen.103,Houthavenkade,38,A,rood,Zaandam,1506PD,POINT (116430.04149999999 494325.67199999996)
inspireadressen.104,Houthavenkade,38,B,rood,Zaandam,1506PD,POINT (116410.479552767 494322.14247365476)
inspireadressen.105,Houthavenkade,38,C,rood,Zaandam,1506PD,POINT (116390.18393934316 494318.5934537385)
inspireadressen.106,Houthavenkade,38,D,rood,Zaandam,1506PD,POINT (116371.55669914458 494315.0290177226)
inspireadressen.107,Daam Schijfweg,16,,ROOD,Zaandam,1507BD,POINT (116295.15323354094 494106.721008033)
inspireadressen.108,Daam Schijfweg,20,A,ROOD,Zaandam,1507BD,POINT (116257.71477973387 494146.33184758044)
inspireadressen.109,Spitsbergen,41,,,Zaandam,1505EH,POINT (117588.07953867104 494365.7823748034)
inspireadressen.110,Westzanerdijk,364,,,Zaandam,1507AR,POINT (114826.91351137121 493929.4559126952)
inspireadressen.111,Westzijderveld,64,,ROOD,Zaandam,1507AA,POINT (115203.16956130539 496423.4619348565)
inspireadressen.112,Westzijderveld,65,,ROOD,Zaandam,1507AA,POINT (115225.87980956696 496427.66624359105)
inspireadressen.113,Westzijderveld,66,,ROOD,Zaandam,1507AA,POINT (115251.50322543498 496432.6346781497)
inspireadressen.114,Westzijderveld,68,,ROOD,Zaandam,1507AA,POINT (115355.46484643052 496449.72042230744)
inspireadressen.115,Westzijderveld,71,,ROOD,Zaandam,1507AA,POINT (115406.10935273339 496489.92124857294)
inspireadressen.116,Westzijderveld,73,,ROOD,Zaandam,1507AA,POINT (115353.3021601894 496475.017740085)
inspireadressen.117,Westzijderveld,74,,ROOD,Zaandam,1507AA,POINT (115328.01198010714 496470.72945149126)
inspireadressen.118,Westzijderveld,77,,ROOD,Zaandam,1507AA,POINT (115248.87575541386 496458.0383758572)
inspireadressen.119,Westzijderveld,79,,ROOD,Zaandam,1507AA,POINT (115199.72917280307 496450.0830631088)
inspireadressen.120,Westzijderveld,101,,ROOD,Zaandam,1507AA,POINT (115293.33208030462 496439.48150750576)
inspireadressen.121,Kalf R,9,,ROOD,Zaandam,1509AC,POINT (117281.1226527805 498265.95441941806)
inspireadressen.122,Kalf R,15,,ROOD,Zaandam,1509AC,POINT (117394.98333876656 498279.36267701845)
inspireadressen.123,Kalf R,16,,ROOD,Zaandam,1509AC,POINT (117413.85728375235 498283.0441917912)
